Week,Year,GID,Name,Pos,Team,h.a,Oppt,FD.points,FD.salary
1,2018,7012,Green Bay,Def,gnb,h,chi,7,4100
1,2018,7009,Dallas,Def,dal,a,car,6,3500
1,2018,7027,San Francisco,Def,sfo,a,min,6,3800
1,2018,7001,Arizona,Def,ari,h,was,5,4100
1,2018,7013,Indianapolis,Def,ind,h,cin,5,3900
1,2018,7020,New York G,Def,nyg,h,jac,4,3900
1,2018,7022,Oakland,Def,oak,h,lar,1,3700
1,2018,7004,Buffalo,Def,buf,a,bal,0,4500
1,2018,7026,LA Chargers,Def,lac,h,kan,0,4300
1,2018,7019,New Orleans,Def,nor,h,tam,-4,4600
