Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Alan Cross (11250394),Alan Cross,11250394,TE/FLEX,2500,PHI@TB 09/16/2018 01:00PM ET,TB,0
TE,Antony Auclair (11250815),Antony Auclair,11250815,TE/FLEX,2500,PHI@TB 09/16/2018 01:00PM ET,TB,0
TE,James Winchester (11250096),James Winchester,11250096,TE/FLEX,2500,KC@PIT 09/16/2018 01:00PM ET,KC,0
TE,Xavier Grimble (11250214),Xavier Grimble,11250214,TE/FLEX,2500,KC@PIT 09/16/2018 01:00PM ET,PIT,0
TE,Alex Ellis (11250360),Alex Ellis,11250360,TE/FLEX,2500,KC@PIT 09/16/2018 01:00PM ET,KC,0
DST,Jets  (11249873),Jets ,11249873,DST,2500,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,26
TE,Gavin Escobar (11250141),Gavin Escobar,11250141,TE/FLEX,2500,MIA@NYJ 09/16/2018 01:00PM ET,MIA,0
TE,A.J. Derby (11250180),A.J. Derby,11250180,TE/FLEX,2500,MIA@NYJ 09/16/2018 01:00PM ET,MIA,0
TE,Eric Tomlinson (11250209),Eric Tomlinson,11250209,TE/FLEX,2500,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,1.7
TE,Neal Sterling (11250211),Neal Sterling,11250211,TE/FLEX,2500,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,5.7
TE,Durham Smythe (11250617),Durham Smythe,11250617,TE/FLEX,2500,MIA@NYJ 09/16/2018 01:00PM ET,MIA,0
TE,Chris Herndon (11250700),Chris Herndon,11250700,TE/FLEX,2500,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,0
TE,Logan Thomas (11250139),Logan Thomas,11250139,TE/FLEX,2500,LAC@BUF 09/16/2018 01:00PM ET,BUF,3.4
TE,Sean Culkin (11250427),Sean Culkin,11250427,TE/FLEX,2500,LAC@BUF 09/16/2018 01:00PM ET,LAC,0
TE,Jason Croom (11250429),Jason Croom,11250429,TE/FLEX,2500,LAC@BUF 09/16/2018 01:00PM ET,BUF,3.8
TE,Hunter Henry (11250579),Hunter Henry,11250579,TE/FLEX,2500,LAC@BUF 09/16/2018 01:00PM ET,LAC,0
