Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jamaal Williams (11250477),Jamaal Williams,11250477,RB/FLEX,5200,MIN@GB 09/16/2018 01:00PM ET,GB,4.7
QB,Mitchell Trubisky (11250527),Mitchell Trubisky,11250527,QB,5200,SEA@CHI 09/17/2018 08:15PM ET,CHI,15.04
WR,Corey Davis (11250532),Corey Davis,11250532,WR/FLEX,5100,HOU@TEN 09/16/2018 01:00PM ET,TEN,12.2
RB,Bilal Powell (11250028),Bilal Powell,11250028,RB/FLEX,5100,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,7.5
QB,Sam Darnold (11250782),Sam Darnold,11250782,QB,5100,MIA@NYJ 09/16/2018 01:00PM ET,NYJ,14.82
RB,Marshawn Lynch (11249931),Marshawn Lynch,11249931,RB/FLEX,5100,OAK@DEN 09/16/2018 04:25PM ET,OAK,12.9
TE,Jordan Reed (11250146),Jordan Reed,11250146,TE/FLEX,5000,IND@WAS 09/16/2018 01:00PM ET,WAS,14.8
QB,Jacoby Brissett (11250357),Jacoby Brissett,11250357,QB,5000,IND@WAS 09/16/2018 01:00PM ET,IND,0
RB,Dion Lewis (11250104),Dion Lewis,11250104,RB/FLEX,5000,HOU@TEN 09/16/2018 01:00PM ET,TEN,22
QB,Jameis Winston (11250443),Jameis Winston,11250443,QB,5000,PHI@TB 09/16/2018 01:00PM ET,TB,0
